Area_name,STCOU,EDU010197F,EDU010197D,EDU010197N1,EDU010197N2,EDU010198F,EDU010198D,EDU010198N1,EDU010198N2,EDU010199F,EDU010199D,EDU010199N1,EDU010199N2,EDU010200F,EDU010200D,EDU010200N1,EDU010200N2,EDU010201F,EDU010201D,EDU010201N1,EDU010201N2,EDU010202F,EDU010202D,EDU010202N1,EDU010202N2,EDU015203F,EDU015203D,EDU015203N1,EDU015203N2,EDU015204F,EDU015204D,EDU015204N1,EDU015204N2,EDU015205F,EDU015205D,EDU015205N1,EDU015205N2,EDU015206F,EDU015206D,EDU015206N1,EDU015206N2
"Gibson, TN",47053,0,8677,0,0,0,8317,0,0,0,8568,0,0,0,8658,0,0,0,8443,0,0,0,8362,0,0,0,8230,0,0,0,8514,0,0,0,8591,0,0,0,8965,0,0
"Giles, TN",47055,0,4793,0,0,0,4808,0,0,0,4733,0,0,0,4776,0,0,0,4622,0,0,0,4437,0,0,0,4432,0,0,0,4512,0,0,0,4480,0,0,0,4795,0,0
"Grainger, TN",47057,0,3160,0,0,0,3042,0,0,0,3205,0,0,0,2831,0,0,0,3316,0,0,0,3266,0,0,0,3336,0,0,0,3239,0,0,0,3600,0,0,0,3583,0,0
"Greene, TN",47059,0,9247,0,0,0,9281,0,0,0,9481,0,0,0,9479,0,0,0,9503,0,0,0,9563,0,0,0,9652,0,0,0,9782,0,0,0,9985,0,0,0,10366,0,0
"Grundy, TN",47061,0,2436,0,0,0,2409,0,0,0,2378,0,0,0,2374,0,0,0,2458,0,0,0,2295,0,0,0,2255,0,0,0,2390,0,0,0,2386,0,0,0,2356,0,0
"Hamblen, TN",47063,0,8936,0,0,0,8958,0,0,0,8919,0,0,0,9084,0,0,0,9697,0,0,0,8939,0,0,0,9145,0,0,0,9484,0,0,0,9583,0,0,0,10079,0,0
"Hamilton, TN",47065,0,43527,0,0,0,42701,0,0,0,42292,0,0,0,42929,0,0,0,39915,0,0,0,40514,0,0,0,40100,0,0,0,40805,0,0,0,40800,0,0,0,40922,0,0
"Hancock, TN",47067,0,1224,0,0,0,1175,0,0,0,1151,0,0,0,1160,0,0,0,1178,0,0,0,1106,0,0,0,1029,0,0,0,1017,0,0,0,965,0,0,0,1034,0,0
"Hardeman, TN",47069,0,4725,0,0,0,4684,0,0,0,4734,0,0,0,4816,0,0,0,4589,0,0,0,4566,0,0,0,4465,0,0,0,4464,0,0,0,4429,0,0,0,4420,0,0
"Hardin, TN",47071,0,4040,0,0,0,4028,0,0,0,3974,0,0,0,4037,0,0,0,3785,0,0,0,3898,0,0,0,3753,0,0,0,3809,0,0,0,3895,0,0,0,3967,0,0
"Hawkins, TN",47073,0,7390,0,0,0,7560,0,0,0,7636,0,0,0,7774,0,0,0,7724,0,0,0,7853,0,0,0,7870,0,0,0,8099,0,0,0,8302,0,0,0,8333,0,0
"Haywood, TN",47075,0,3916,0,0,0,3775,0,0,0,3667,0,0,0,3893,0,0,0,3552,0,0,0,3568,0,0,0,3511,0,0,0,3693,0,0,0,3785,0,0,0,3648,0,0
"Henderson, TN",47077,0,4360,0,0,0,4556,0,0,0,4324,0,0,0,4418,0,0,0,4263,0,0,0,4448,0,0,0,4390,0,0,0,4607,0,0,0,4705,0,0,0,4806,0,0
"Henry, TN",47079,0,4868,0,0,0,4814,0,0,0,4821,0,0,0,4910,0,0,0,4685,0,0,0,4563,0,0,0,4627,0,0,0,4700,0,0,0,4889,0,0,0,4686,0,0
"Hickman, TN",47081,0,2725,0,0,0,3526,0,0,0,3561,0,0,0,3587,0,0,0,3681,0,0,0,3797,0,0,0,3813,0,0,0,3886,0,0,0,3948,0,0,0,4044,0,0
"Houston, TN",47083,0,1399,0,0,0,1383,0,0,0,1362,0,0,0,1396,0,0,0,1441,0,0,0,1417,0,0,0,1439,0,0,0,1445,0,0,0,1521,0,0,0,1559,0,0
"Humphreys, TN",47085,0,3036,0,0,0,3091,0,0,0,3062,0,0,0,3104,0,0,0,2976,0,0,0,2995,0,0,0,3000,0,0,0,3069,0,0,0,3086,0,0,0,3193,0,0
"Jackson, TN",47087,0,1575,0,0,0,1575,0,0,0,1610,0,0,0,1626,0,0,0,1678,0,0,0,1680,0,0,0,1668,0,0,0,2024,0,0,0,1950,0,0,0,2022,0,0
"Jefferson, TN",47089,0,6155,0,0,0,6274,0,0,0,6395,0,0,0,6490,0,0,0,6805,0,0,0,6820,0,0,0,7036,0,0,0,7261,0,0,0,7411,0,0,0,7600,0,0
"Johnson, TN",47091,0,2324,0,0,0,2326,0,0,0,2325,0,0,0,2487,0,0,0,2238,0,0,0,2295,0,0,0,2285,0,0,0,2340,0,0,0,2311,0,0,0,2426,0,0
"Knox, TN",47093,0,51224,0,0,0,51152,0,0,0,51667,0,0,0,52840,0,0,0,51944,0,0,0,51866,0,0,0,52659,0,0,0,54247,0,0,0,54427,0,0,0,59663,0,0
"Lake, TN",47095,0,1016,0,0,0,978,0,0,0,894,0,0,0,926,0,0,0,974,0,0,0,886,0,0,0,900,0,0,0,916,0,0,0,989,0,0,0,1001,0,0
"Lauderdale, TN",47097,0,5031,0,0,0,4890,0,0,0,4707,0,0,0,4793,0,0,0,4556,0,0,0,4565,0,0,0,4544,0,0,0,4557,0,0,0,4527,0,0,0,4618,0,0
"Lawrence, TN",47099,0,6773,0,0,0,6829,0,0,0,6934,0,0,0,7018,0,0,0,6866,0,0,0,6800,0,0,0,6710,0,0,0,6999,0,0,0,6924,0,0,0,7029,0,0
"Lewis, TN",47101,0,1972,0,0,0,1920,0,0,0,1929,0,0,0,1957,0,0,0,1929,0,0,0,1953,0,0,0,1969,0,0,0,1964,0,0,0,1881,0,0,0,1978,0,0
"Lincoln, TN",47103,0,5338,0,0,0,5320,0,0,0,5313,0,0,0,5360,0,0,0,5183,0,0,0,5004,0,0,0,4980,0,0,0,5082,0,0,0,5263,0,0,0,5135,0,0
"Loudon, TN",47105,0,6420,0,0,0,6460,0,0,0,6497,0,0,0,6420,0,0,0,6708,0,0,0,6818,0,0,0,6882,0,0,0,7210,0,0,0,7430,0,0,0,7530,0,0
"McMinn, TN",47107,0,7974,0,0,0,7953,0,0,0,7872,0,0,0,8071,0,0,0,7932,0,0,0,7935,0,0,0,7899,0,0,0,7943,0,0,0,8167,0,0,0,8198,0,0
"McNairy, TN",47109,0,4011,0,0,0,4102,0,0,0,4142,0,0,0,4153,0,0,0,4096,0,0,0,4081,0,0,0,4233,0,0,0,4271,0,0,0,4262,0,0,0,4360,0,0
"Macon, TN",47111,0,3335,0,0,0,2684,0,0,0,3510,0,0,0,3769,0,0,0,3752,0,0,0,3573,0,0,0,3547,0,0,0,3697,0,0,0,3708,0,0,0,3764,0,0
"Madison, TN",47113,0,13635,0,0,0,13720,0,0,0,13683,0,0,0,13878,0,0,0,13640,0,0,0,13684,0,0,0,13609,0,0,0,14334,0,0,0,14205,0,0,0,14700,0,0
"Marion, TN",47115,0,4803,0,0,0,4543,0,0,0,4580,0,0,0,4632,0,0,0,4442,0,0,0,4459,0,0,0,4452,0,0,0,4522,0,0,0,4613,0,0,0,4625,0,0
"Marshall, TN",47117,0,4669,0,0,0,4139,0,0,0,4720,0,0,0,4775,0,0,0,4849,0,0,0,4810,0,0,0,4829,0,0,0,4811,0,0,0,5153,0,0,0,5252,0,0
"Maury, TN",47119,0,11898,0,0,0,10781,0,0,0,11684,0,0,0,11880,0,0,0,11136,0,0,0,11158,0,0,0,11141,0,0,0,11518,0,0,0,11662,0,0,0,12350,0,0
"Meigs, TN",47121,0,1718,0,0,0,1714,0,0,0,1720,0,0,0,1737,0,0,0,1775,0,0,0,1835,0,0,0,1841,0,0,0,1871,0,0,0,1905,0,0,0,1926,0,0
"Monroe, TN",47123,0,6183,0,0,0,6184,0,0,0,6247,0,0,0,6317,0,0,0,7024,0,0,0,6498,0,0,0,6614,0,0,0,6871,0,0,0,6984,0,0,0,7112,0,0
"Montgomery, TN",47125,0,22280,0,0,0,21689,0,0,0,23337,0,0,0,23719,0,0,0,23339,0,0,0,24256,0,0,0,24924,0,0,0,25899,0,0,0,27008,0,0,0,27963,0,0
"Moore, TN",47127,0,982,0,0,0,1001,0,0,0,970,0,0,0,981,0,0,0,1007,0,0,0,956,0,0,0,950,0,0,0,958,0,0,0,923,0,0,0,976,0,0
"Morgan, TN",47129,0,3339,0,0,0,3115,0,0,0,3275,0,0,0,3286,0,0,0,3240,0,0,0,3324,0,0,0,3250,0,0,0,3265,0,0,0,3344,0,0,0,3804,0,0
"Obion, TN",47131,0,5556,0,0,0,5555,0,0,0,5581,0,0,0,5655,0,0,0,5438,0,0,0,5392,0,0,0,5341,0,0,0,5674,0,0,0,5691,0,0,0,5810,0,0
"Overton, TN",47133,0,3058,0,0,0,3084,0,0,0,3148,0,0,0,3181,0,0,0,3071,0,0,0,3206,0,0,0,3291,0,0,0,3369,0,0,0,3145,0,0,0,3466,0,0
"Perry, TN",47135,0,1244,0,0,0,1217,0,0,0,1170,0,0,0,1209,0,0,0,1174,0,0,0,1142,0,0,0,1127,0,0,0,1160,0,0,0,1151,0,0,0,1128,0,0
"Pickett, TN",47137,0,831,0,0,0,780,0,0,0,767,0,0,0,757,0,0,0,745,0,0,0,708,0,0,0,698,0,0,0,692,0,0,0,688,0,0,0,694,0,0
"Polk, TN",47139,0,2324,0,0,0,2323,0,0,0,2319,0,0,0,2475,0,0,0,2433,0,0,0,2374,0,0,0,2532,0,0,0,2660,0,0,0,2698,0,0,0,2851,0,0
"Putnam, TN",47141,0,9380,0,0,0,9480,0,0,0,9495,0,0,0,9638,0,0,0,9386,0,0,0,9505,0,0,0,9872,0,0,0,10275,0,0,0,10515,0,0,0,10844,0,0
"Rhea, TN",47143,0,4638,0,0,0,4571,0,0,0,4680,0,0,0,4721,0,0,0,4593,0,0,0,4502,0,0,0,4544,0,0,0,4730,0,0,0,4780,0,0,0,5005,0,0
"Roane, TN",47145,0,7571,0,0,0,7456,0,0,0,7343,0,0,0,7446,0,0,0,7135,0,0,0,7194,0,0,0,7397,0,0,0,7449,0,0,0,7569,0,0,0,7751,0,0
"Robertson, TN",47147,0,9685,0,0,0,9733,0,0,0,9741,0,0,0,9844,0,0,0,10267,0,0,0,9856,0,0,0,9693,0,0,0,10043,0,0,0,10444,0,0,0,10820,0,0
"Rutherford, TN",47149,0,28097,0,0,0,27048,0,0,0,30325,0,0,0,30589,0,0,0,31019,0,0,0,32645,0,0,0,35494,0,0,0,37627,0,0,0,39414,0,0,0,41851,0,0
"Scott, TN",47151,0,4079,0,0,0,4039,0,0,0,3989,0,0,0,4057,0,0,0,3874,0,0,0,3915,0,0,0,3876,0,0,0,4145,0,0,0,4181,0,0,0,4042,0,0
"Sequatchie, TN",47153,0,1733,0,0,0,1773,0,0,0,1803,0,0,0,1823,0,0,0,1973,0,0,0,1844,0,0,0,1914,0,0,0,2059,0,0,0,2145,0,0,0,2217,0,0
"Sevier, TN",47155,0,11231,0,0,0,11612,0,0,0,11909,0,0,0,12074,0,0,0,12635,0,0,0,12400,0,0,0,13054,0,0,0,13787,0,0,0,14213,0,0,0,14522,0,0
"Shelby, TN",47157,0,157610,0,0,0,157126,0,0,0,159867,0,0,0,161897,0,0,0,160702,0,0,0,160539,0,0,0,163032,0,0,0,166015,0,0,0,166197,0,0,0,164475,0,0
"Smith, TN",47159,0,3046,0,0,0,3093,0,0,0,3144,0,0,0,3136,0,0,0,3129,0,0,0,3141,0,0,0,3144,0,0,0,3208,0,0,0,3260,0,0,0,3479,0,0
"Stewart, TN",47161,0,1919,0,0,0,1996,0,0,0,2025,0,0,0,2056,0,0,0,2240,0,0,0,2067,0,0,0,2106,0,0,0,2176,0,0,0,2105,0,0,0,2303,0,0
"Sullivan, TN",47163,0,23109,0,0,0,23076,0,0,0,23165,0,0,0,23488,0,0,0,23247,0,0,0,22789,0,0,0,23039,0,0,0,23058,0,0,0,22882,0,0,0,23146,0,0
"Sumner, TN",47165,0,21864,0,0,0,9794,0,0,0,22165,0,0,0,22463,0,0,0,22347,0,0,0,22755,0,0,0,24002,0,0,0,24707,0,0,0,25552,0,0,0,26140,0,0
"Tipton, TN",47167,0,10252,0,0,0,10357,0,0,0,10636,0,0,0,10698,0,0,0,10783,0,0,0,10979,0,0,0,11153,0,0,0,11338,0,0,0,11576,0,0,0,12030,0,0
"Trousdale, TN",47169,0,1228,0,0,0,1222,0,0,0,1228,0,0,0,1245,0,0,0,1364,0,0,0,1273,0,0,0,1275,0,0,0,1302,0,0,0,1307,0,0,0,1365,0,0
"Unicoi, TN",47171,0,2558,0,0,0,2558,0,0,0,2483,0,0,0,2558,0,0,0,2443,0,0,0,2467,0,0,0,2540,0,0,0,2569,0,0,0,2497,0,0,0,2731,0,0
"Union, TN",47173,0,2941,0,0,0,2105,0,0,0,3078,0,0,0,3152,0,0,0,2960,0,0,0,3060,0,0,0,3054,0,0,0,3118,0,0,0,2966,0,0,0,3119,0,0
"Van Buren, TN",47175,0,793,0,0,0,797,0,0,0,796,0,0,0,814,0,0,0,840,0,0,0,772,0,0,0,784,0,0,0,791,0,0,0,878,0,0,0,807,0,0
"Warren, TN",47177,0,6276,0,0,0,6328,0,0,0,6314,0,0,0,6355,0,0,0,6360,0,0,0,6129,0,0,0,5999,0,0,0,6176,0,0,0,6205,0,0,0,6396,0,0
"Washington, TN",47179,0,14679,0,0,0,12993,0,0,0,14923,0,0,0,15416,0,0,0,14794,0,0,0,15082,0,0,0,15624,0,0,0,15933,0,0,0,16038,0,0,0,16212,0,0
"Wayne, TN",47181,0,2734,0,0,0,2699,0,0,0,2686,0,0,0,2501,0,0,0,2631,0,0,0,2636,0,0,0,2554,0,0,0,2652,0,0,0,2712,0,0,0,2540,0,0
"Weakley, TN",47183,0,5201,0,0,0,5152,0,0,0,5126,0,0,0,5167,0,0,0,4884,0,0,0,4866,0,0,0,4759,0,0,0,4885,0,0,0,4911,0,0,0,4995,0,0
"White, TN",47185,0,3833,0,0,0,3845,0,0,0,3867,0,0,0,3924,0,0,0,4004,0,0,0,3877,0,0,0,3898,0,0,0,4006,0,0,0,4013,0,0,0,4157,0,0
