Area_name,STCOU,EDU010187F,EDU010187D,EDU010187N1,EDU010187N2,EDU010188F,EDU010188D,EDU010188N1,EDU010188N2,EDU010189F,EDU010189D,EDU010189N1,EDU010189N2,EDU010190F,EDU010190D,EDU010190N1,EDU010190N2,EDU010191F,EDU010191D,EDU010191N1,EDU010191N2,EDU010192F,EDU010192D,EDU010192N1,EDU010192N2,EDU010193F,EDU010193D,EDU010193N1,EDU010193N2,EDU010194F,EDU010194D,EDU010194N1,EDU010194N2,EDU010195F,EDU010195D,EDU010195N1,EDU010195N2,EDU010196F,EDU010196D,EDU010196N1,EDU010196N2
"Hancock, TN",47067,0,1392,0,0,0,1389,0,0,0,1277,0,0,0,1227,0,0,0,1229,0,0,0,1233,0,0,0,1283,0,0,0,1303,0,0,0,1251,0,0,0,1256,0,0
"Hardeman, TN",47069,0,5053,0,0,0,4987,0,0,0,4942,0,0,0,4900,0,0,0,4929,0,0,0,4958,0,0,0,4951,0,0,0,4895,0,0,0,4850,0,0,0,4846,0,0
"Hardin, TN",47071,0,4339,0,0,0,4125,0,0,0,3988,0,0,0,3966,0,0,0,3935,0,0,0,3969,0,0,0,3986,0,0,0,4003,0,0,0,4077,0,0,0,4128,0,0
"Hawkins, TN",47073,0,8058,0,0,0,7628,0,0,0,7406,0,0,0,7259,0,0,0,7182,0,0,0,7094,0,0,0,7021,0,0,0,7154,0,0,0,7152,0,0,0,7280,0,0
"Haywood, TN",47075,0,4662,0,0,0,4261,0,0,0,4252,0,0,0,4284,0,0,0,4203,0,0,0,4138,0,0,0,4095,0,0,0,4060,0,0,0,3973,0,0,0,3978,0,0
"Henderson, TN",47077,0,4339,0,0,0,4089,0,0,0,4083,0,0,0,4073,0,0,0,4071,0,0,0,4034,0,0,0,4037,0,0,0,4143,0,0,0,4228,0,0,0,4374,0,0
"Henry, TN",47079,0,4878,0,0,0,4744,0,0,0,4658,0,0,0,4620,0,0,0,4613,0,0,0,4714,0,0,0,4796,0,0,0,4898,0,0,0,4873,0,0,0,4882,0,0
"Hickman, TN",47081,0,2829,0,0,0,2803,0,0,0,2745,0,0,0,2820,0,0,0,2878,0,0,0,2931,0,0,0,3016,0,0,0,3107,0,0,0,3166,0,0,0,3305,0,0
"Houston, TN",47083,0,1403,0,0,0,1364,0,0,0,1342,0,0,0,1332,0,0,0,1315,0,0,0,1305,0,0,0,1281,0,0,0,1312,0,0,0,1351,0,0,0,1370,0,0
"Humphreys, TN",47085,0,3105,0,0,0,2985,0,0,0,2991,0,0,0,2947,0,0,0,2911,0,0,0,2873,0,0,0,2874,0,0,0,2919,0,0,0,3001,0,0,0,3003,0,0
"Jackson, TN",47087,0,1559,0,0,0,1454,0,0,0,1457,0,0,0,1439,0,0,0,1411,0,0,0,1423,0,0,0,1441,0,0,0,1447,0,0,0,1492,0,0,0,1491,0,0
"Jefferson, TN",47089,0,5773,0,0,0,5579,0,0,0,5465,0,0,0,5384,0,0,0,5348,0,0,0,5366,0,0,0,5425,0,0,0,5540,0,0,0,5673,0,0,0,5962,0,0
"Johnson, TN",47091,0,2734,0,0,0,2506,0,0,0,2445,0,0,0,2343,0,0,0,2295,0,0,0,2302,0,0,0,2319,0,0,0,2391,0,0,0,2332,0,0,0,2299,0,0
"Knox, TN",47093,0,52472,0,0,0,50533,0,0,0,50116,0,0,0,49926,0,0,0,50750,0,0,0,50788,0,0,0,51587,0,0,0,51742,0,0,0,52285,0,0,0,52627,0,0
"Lake, TN",47095,0,1322,0,0,0,1201,0,0,0,1183,0,0,0,1161,0,0,0,1138,0,0,0,1135,0,0,0,1107,0,0,0,1117,0,0,0,1091,0,0,0,1075,0,0
"Lauderdale, TN",47097,0,5010,0,0,0,5000,0,0,0,5015,0,0,0,4922,0,0,0,4962,0,0,0,5067,0,0,0,5107,0,0,0,5089,0,0,0,5106,0,0,0,5082,0,0
"Lawrence, TN",47099,0,6413,0,0,0,6284,0,0,0,6221,0,0,0,6165,0,0,0,6210,0,0,0,6288,0,0,0,6426,0,0,0,6605,0,0,0,6771,0,0,0,6859,0,0
"Lewis, TN",47101,0,1810,0,0,0,1783,0,0,0,1696,0,0,0,1727,0,0,0,1763,0,0,0,1796,0,0,0,1881,0,0,0,1887,0,0,0,1964,0,0,0,1921,0,0
"Lincoln, TN",47103,0,5233,0,0,0,5064,0,0,0,5096,0,0,0,4980,0,0,0,5069,0,0,0,5132,0,0,0,5205,0,0,0,5262,0,0,0,5290,0,0,0,5397,0,0
"Loudon, TN",47105,0,5726,0,0,0,5500,0,0,0,5501,0,0,0,5511,0,0,0,5586,0,0,0,5739,0,0,0,5795,0,0,0,6071,0,0,0,6116,0,0,0,6336,0,0
"McMinn, TN",47107,0,8414,0,0,0,8085,0,0,0,8015,0,0,0,7857,0,0,0,7777,0,0,0,7830,0,0,0,7798,0,0,0,7810,0,0,0,7827,0,0,0,7975,0,0
"McNairy, TN",47109,0,4460,0,0,0,4231,0,0,0,4197,0,0,0,4075,0,0,0,4087,0,0,0,4034,0,0,0,3980,0,0,0,3998,0,0,0,4015,0,0,0,4013,0,0
"Macon, TN",47111,0,2798,0,0,0,2780,0,0,0,2808,0,0,0,2850,0,0,0,2917,0,0,0,2977,0,0,0,3017,0,0,0,3058,0,0,0,3158,0,0,0,3278,0,0
"Madison, TN",47113,0,13979,0,0,0,13576,0,0,0,13542,0,0,0,13551,0,0,0,13620,0,0,0,13619,0,0,0,13804,0,0,0,13436,0,0,0,13579,0,0,0,13544,0,0
"Marion, TN",47115,0,5423,0,0,0,5101,0,0,0,4949,0,0,0,4880,0,0,0,4801,0,0,0,4848,0,0,0,4765,0,0,0,4803,0,0,0,4861,0,0,0,4767,0,0
"Marshall, TN",47117,0,3875,0,0,0,3771,0,0,0,3818,0,0,0,3906,0,0,0,4035,0,0,0,4218,0,0,0,4272,0,0,0,4411,0,0,0,4487,0,0,0,4511,0,0
"Maury, TN",47119,0,9628,0,0,0,9334,0,0,0,9534,0,0,0,9765,0,0,0,10398,0,0,0,10825,0,0,0,11213,0,0,0,11582,0,0,0,11697,0,0,0,11823,0,0
"Meigs, TN",47121,0,1613,0,0,0,1566,0,0,0,1525,0,0,0,1508,0,0,0,1484,0,0,0,1524,0,0,0,1539,0,0,0,1568,0,0,0,1636,0,0,0,1635,0,0
